article_id,title,doi,year,authors,journal,keywords,study_country,study_continent,study_subregion,is_multi_country,is_multi_continent,researcher_country,researcher_continent,researcher_subregion,latitude,longitude,research_flow,topic_id,megatopic_id,income_group,hdi,gender_inequality_index,population_total,gdp_per_capita,gini_index,women_parliament,female_labor_force,female_homicide_rate,maternal_mortality,gini_index_source,gini_index_obs_year,women_parliament_source,women_parliament_obs_year,female_labor_force_source,female_labor_force_obs_year,female_homicide_rate_source,female_homicide_rate_obs_year
298,The association of intimate Partner violence and decision making power on nutritional status of married women in Ethiopia: a multilevel mixed-effect analysis,10.1186/s12905-023-02459-0,2023,"Tiruneh FN, Ntenda PAM, Tamir T.",BMC Women's Health,Nutritional Status;Decision Making;Violence,ETH,Africa,Eastern Africa,0,0,ETH,Africa,Eastern Africa,11.7108206,41.0330866,Domestic,26,1,Low income,0.498,0.491,128691692,1055.810916,31.1,41.31355932,58.141,NA,195,NA,NA,WDI,2023,WDI,2023,NA,NA
299,The effect of armed conflict on intimate partner violence: Evidence from the Boko Haram insurgency in Nigeria,10.1596/1813-9450-9168,2022,Uche Eseosa Ekhator-Mobayode,"World Development, 153 (2022) 105780","Armed conflict; Forced displacement; Intimate Partner Violence; Boko Haram Insurgency; ""Nigeria, Africa""",NGA,Africa,Western Africa,0,0,USA,Americas,North America,38.8950368,-77.0365427,Cross-continental,1,1,Lower middle income,0.535,0.68,223150906,2899.16047470324,38.4,3.61,76.927,6.454190656,1016,SWIID,2022,IPU,2022,ILOSTAT,2022,OWID,2023
300,Women's entrepreneurship and intimate partner violence: A cluster randomized trial of microenterprise assistance and partner participation in post-conflict Uganda (SSM-D-14-01580R1),10.1016/j.socscimed.2015.03.042,2015,Eric P. Green,"Social Science & Medicine, 133 (2015) 177-188",Uganda;Poverty;Gender;Cash transfers;Microenterprise;Empowerment;Intimate partner violence;Post-conflict;DOMESTIC VIOLENCE;GENDER NORMS;HEALTH;PREVALENCE;MULTICOUNTRY;INTERVENTION;TRANSFERS;MEN;Entrepreneurship,UGA,Africa,Eastern Africa,0,0,GBR,Europe,Western Europe,54.666667,-1.75,Cross-continental,18,3,Low income,0.525,0.523,37531444,862.934610355811,43.8,34.97,73.722,4.482609302,299,SWIID,2015,IPU,2015,ILOSTAT,2015,OWID,2014
301,Women’s income and risk of intimate partner violence: secondary findings from the MAISHA cluster randomised trial in North-Western Tanzania,10.1186/s12889-019-7454-1,2019,Tanya Abramsky,"BMC Public Health, 2019","Intimate partner violence,Economic abuse,Economic empowerment,Income,Tanzania,Women,Africa",TZA,Africa,Eastern Africa,0,0,GBR,Europe,Western Europe,51.5255901,-0.1262141,Cross-continental,18,3,Lower middle income,0.549,0.537,59174889,1063.32250976563,45.5,36.9,80.265,1.645968444,292,SWIID,2018,IPU,2019,ILOSTAT,2019,OWID,2019
302,'Poverty can break a home': Exploring mechanisms linking cash plus programming and intimate partner violence in Ghana,10.1016/j.socscimed.2021.114521,2022,Clare Barrington,"Social Science & Medicine, 292 (2022) 114521","Ghana,Intimate partner violence,Cash transfer,Cash plus programming,Qualitative,Pathways",GHA,Africa,Western Africa,0,0,GHA,Africa,Western Africa,8.0300284,-1.0800271,Domestic,18,3,Lower middle income,0.632,0.529,33149152,2229.891226,43.5,14.54545455,55.507,0.9705612496,239,NA,NA,WDI,2022,WDI,2022,WDI,2022
303,"‘They can’t report abuse, they can’t move out. They are at the mercy of these men’: exploring connections between intimate partner violence, gender and HIV in South African clinical settings",10.1080/13691058.2015.1096420,2016,Courtenay Sprague,"Culture, Health & Sexuality, 2015",Intimate partner violence; HIV; gender norms; sub-Saharan Africa; South Africa; health systems; qualitative,ZAF,Africa,Southern Africa,0,0,USA,Americas,North America,42.6551317,-71.3247589,Cross-continental,8,5,Upper middle income,0.713,0.405,57259550,5651.20585165749,62.2,42,47.74,9.217676353,141,SWIID,2016,IPU,2016,ILOSTAT,2016,OWID,2016
304,Sexual violence and self-reported sexually transmitted infections among women in sub-Saharan Africa,10.1017/s0021932022000062,2023,"Aboagye RG, Seidu AA, Ahinkorah BO, Frimpong JB, Yaya S.",Journal of Biosocial Science,Sex Offenses;Africa South of the Sahara;Violence,BDI; CMR; ETH; MLI; MWI; NGA; RWA; SLE; TCD; UGA; ZAF; ZMB,Africa,Eastern Africa / Middle Africa / Western Africa / Southern Africa,1,0,GHA,Africa,Western Africa,NA,NA,Multi-national,22,7,Low income; Lower middle income; Low income; Low income; Low income; Lower middle income; Low income; Low income; Low income; Low income; Upper middle income; Low income,0.433; 0.576; 0.498; 0.428; 0.512; 0.535; 0.534; 0.477; 0.394; 0.525; 0.713; 0.565,0.505; 0.56; 0.491; 0.613; 0.549; 0.68; 0.388; 0.644; 0.652; 0.523; 0.405; 0.526,13689450.0; NA; 128691692.0; NA; NA; NA; NA; NA; 19319064.0; NA; NA; NA,250.627253097255; NA; 1055.81091592527; NA; NA; NA; NA; NA; 949.333453674592; NA; NA; NA,37.5; 45.0; 31.1; 35.8; 44.0; 38.4; 47.0; 39.1; 37.4; 43.9; 61.2; 55.0,38.2113821138211; 33.89; 41.3135593220339; 28.57; 20.73; 3.61; 61.25; 13.01; 25.8883248730965; 33.81; 46.25; 14.97,79.98; 57.095; 58.141; 53.06; 58.644; 80.693; 58.044; 51.774; 47.817; 75.445; 49.052; 56.361,2.17162243854485; 2.2896666393707; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,392.0; 258.0; 195.0; NA; NA; NA; NA; NA; 748.0; NA; NA; NA,NA; SWIID; NA; SWIID; SWIID; SWIID; SWIID; SWIID; NA; SWIID; SWIID; SWIID,NA; 2021; NA; 2023; 2019; 2022; 2023; 2018; NA; 2019; 2022; 2022,WDI; IPU; WDI; IPU; IPU; IPU; IPU; IPU; WDI; IPU; IPU; IPU,2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023,WDI; ILOSTAT; WDI; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; WDI; ILOSTAT; ILOSTAT; ILOSTAT,2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023; 2023,WDI; WDI; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,2016; 2020; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA
305,Associations between forced non-consensual first-sex and HIV among sexually active women in the King,10.1080/09540121.2023.2206099,2024,"Dlamini NS, Masango BZ, Chiao C, Lin WH.",AIDS Care,Sexual Behavior,SWZ,Africa,Southern Africa,0,0,PHL,Asia,South-Eastern Asia,14.575603,120.9856213,Cross-continental,8,5,Lower middle income,0.597,0.529,1230507,3909.55892378182,60.2,21.62,48.422,NA,118,SWIID,2016,IPU,2024,ILOSTAT,2024,NA,NA
306,A multilevel analysis of contextual risk factors for intimate partner violence in Ghana,10.1177/0269758018799030,2019,"Cofie, N",International Review of Victimology 2020.26:50-78,Ghana;intimate partner violence;structural socioeconomic and cultural factors;SOCIAL DISORGANIZATION THEORY;DOMESTIC VIOLENCE;PHYSICAL AGGRESSION;NEIGHBORHOOD ENVIRONMENT;COMMUNITY STRUCTURE;AFRICAN CONTEXT;WOMEN;GENDER;MODELS;ALCOHOL;Risk Factors;Violence,GHA,Africa,Western Africa,0,0,CAN,Americas,North America,44.2250523,-76.4977719,Cross-continental,27,6,Lower middle income,0.632,0.529,31258945,2186.658227,43.5,13.09090909,60.063,0.473363575,260,NA,NA,WDI,2019,WDI,2019,WDI,2020
307,"Associations between poverty, mental health and substance use, gender power, and intimate partner violence amongst young (18-30) women and men in urban informal settlements in South Africa: A cross-sectional study and structural equation model",10.1371/journal.pone.0204956,2018,"Andrew Gibbs, Rachel Jewkes, Samantha Willan, Laura Washington",PLOS ONE,PREVALENCE;MULTICOUNTRY;PERPETRATION;INCOME;RISK;ASIA;Cross-Sectional Studies;Cesarean Section;South Africa;Poverty,ZAF,Africa,Southern Africa,0,0,ZAF,Africa,Southern Africa,-29.8680551,30.978412,Domestic,18,3,Upper middle income,0.713,0.405,58613001,6914.1780318076,61.9,42.39,48.518,9.455240144,128,SWIID,2018,IPU,2018,ILOSTAT,2018,OWID,2018
308,Does experiencing a traumatic life event increase the risk of intimate partner violence for young women? A cross-sectional analysis and structural equation model of data from the Stepping Stones and Creating Futures intervention in South Africa,10.1136/bmjopen-2021-051969,2022,"Mannell, J and Minckas, N and Burgess, R and Chirwa, ED and Jewkes, R and Gibbs, A",BMJ OPEN,POSTTRAUMATIC-STRESS-DISORDER;FAMILY VIOLENCE;INFORMAL SETTLEMENTS;MENTAL-HEALTH;CHILD-ABUSE;EXPOSURE;REVICTIMIZATION;DISSOCIATION;PREVALENCE;BEHAVIORS;South Africa;Cross-Sectional Studies;Cesarean Section;Violence,ZAF,Africa,Southern Africa,0,0,GBR,Europe,Western Europe,51.524203,-0.1330007,Cross-continental,31,5,Upper middle income,0.713,0.405,62378417,6534.24867783397,61.2,46.72,47.118,12.54921233,129,SWIID,2022,IPU,2022,ILOSTAT,2022,OWID,2022
309,Exploring the association between attitudes towards wife beating and intimate partner violence using a dyadic approach in three sub-Saharan African countries,10.1136/bmjopen-2022-062977,2023,"Bengesai, Annah, V and Khan, Hafiz T. A.",BMJ OPEN,Domestic violence;Wife;Medicine;Sexual violence;Poison control;Suicide prevention;Injury prevention;Occupational safety and health;Human factors and ergonomics;Demography,MWI; ZMB; ZWE,Africa,Southern Africa,1,0,ZAF,Africa,Southern Africa,-29.8680551,30.978412,Multi-national,26,1,Low income; Low income; Lower middle income,0.512; 0.565; 0.593,0.549; 0.526; 0.503,21104480.0; 20723967.0; 16340829.0,NA,44.0; 55.0; 47.7,20.73; 14.97; 30.57,58.644; 56.361; 62.178,NA; NA; 2.4479,NA,SWIID; SWIID; SWIID,2019; 2022; 2019,IPU; IPU; IPU,2023; 2023; 2023,ILOSTAT; ILOSTAT; ILOSTAT,2023; 2023; 2023,NA; NA; OWID,NA; NA; 2022
310,Gender-based violence and its associated factors among internally displaced women in Northwest Ethiopia: a cross-sectional study,10.1186/s12905-023-02306-2,2023,Keralem Workie,BMC Women's Health,Conflict;Gender-based violence;Internally displaced women;Northwest Ethiopia,ETH,Africa,Eastern Africa,0,0,ETH,Africa,Eastern Africa,7.0735468,38.4862781,Domestic,25,4,Low income,0.498,0.491,128691692,1055.810916,31.1,41.31355932,58.141,NA,195,NA,NA,WDI,2023,WDI,2023,NA,NA
311,“I was raped by the broker on the first day of my arrival in the town.” Exploring reasons for risky sexual behavior among sexually-active unmarried young female internal migrants in Ethiopia: A qualitative study,10.1371/journal.pone.0242176,2020,"Ararso Baru, Ikeola A. Adeoye, Adeyemi O. Adekunle",PLOS ONE,Sexual Behavior;Rape,ETH,Africa,Eastern Africa,0,0,ETH,Africa,Eastern Africa,10.2116702,38.6521203,Domestic,22,7,Low income,0.498,0.491,118917671,829.7909825,35,38.75685558,59.297,NA,244,NA,NA,WDI,2020,WDI,2020,NA,NA
312,No safe place: Prevalence and correlates of violence against conflict-affected women and girls in South Sudan,10.1371/journal.pone.0237965,2020,"Mary Ellsberg, Junior Ovince, Maureen Murphy, Alexandra Blackwell, Dashakti Reddy, Julianne Stennes, Tim Hess, Manuel Contreras",PLOS ONE,INTIMATE PARTNER VIOLENCE;MULTICOUNTRY;Prevalence;Sudan,SSD,Africa,Eastern Africa,0,0,USA,Americas,North America,38.8998938,-77.0474483,Cross-continental,21,6,Low income,0.385,0.587,10698471,1080.14718624765,46.7,28.46,70.996,NA,729,SWIID,2016,IPU,2020,ILOSTAT,2020,NA,NA
313,"Abuse, Neglect, and Disrespect against Older Adults in India",10.1007/s12062-020-09270-x,2020,Himanshu Chaurasia,Population Ageing,"Abuse,Violence,Disrespect,Neglect",IND,Asia,Southern Asia,0,0,CYP,Europe,Southern Europe,34.7087998,33.1257338,Cross-continental,12,3,Lower middle income,0.633,0.49,1402617694,1907.04251637669,47.2,14.36,25.998,2.372806228,101,SWIID,2020,IPU,2020,ILOSTAT,2020,OWID,2020
314,Chinese Women’s Experience of Intimate Partner Violence: Exploring Factors Affecting Various Types of IPV,10.1177/1077801216671221,2017,"Lin K, Sun IY, Liu J, Chen X.",Violence Against Women 2018.24:66-84,Violence,CHN,Asia,Eastern Asia,0,0,CHN,Asia,Eastern Asia,39.1365128,117.1832633,Domestic,1,1,Upper middle income,0.768,0.192,1412354730,8979.67652709856,41.4,23.7,61.957,NA,24,SWIID,2017,IPU,2017,ILOSTAT,2017,NA,NA
315,Association between intimate partner violence and child morbidity in South Asia,10.1186/s41043-015-0016-y,2011,Elma Z. Ferdousy,"Journal of Health, Population and Nutrition, 2015","Intimate partner violence,Childhood morbidity,South Asian Region,Bangladesh DHS,India DHS,Nepal DHS",BRA,Americas,South America,0,0,BRA,Americas,South America,NA,NA,Domestic,29,2,Upper middle income,0.754,0.39,195284734,13396.62632,52.9,8.576998051,53.517,4.575589504,62,NA,NA,WDI,2011,WDI,2011,WDI,2011
316,Association Between Intimate Partner Violence and Suicidal Ideation Among Female and Male Adults in South Korea: A Nationally Representative Longitudinal Study,10.1177/08862605221080137,2022,"Kim, R and Yoon, J and Kim, JH and Lee, H and Park, J and Kim, SS",J Interpers Violence 2022.37:NP23222-NP23240,intimate partner violence;domestic violence;suicide;suicidal ideation;gender;patriarchy;South Korea;MENTAL-HEALTH;LOGISTIC-REGRESSION;GENDER;PEOPLE;WOMEN;Ethnic Groups;Suicide;Longitudinal Studies;Korea;Violence,KOR,Asia,Eastern Asia,0,0,KOR,Asia,Eastern Asia,37.5903784,127.0360133,Domestic,31,5,High income,0.925,0.067,51782515,34822.4048404971,31.5,18.64,55.03,0.4982376773,7,SWIID,2022,IPU,2022,ILOSTAT,2022,OWID,2022
317,Binge-drinking and household role’s associations with prevalence of domestic violence: findings from the Thailand smoking and drinking behaviour survey 2017,10.1186/s13011-020-00278-2,2020,Wit Wichaidit,"Substance Abuse Treatment, Prevention, and Policy, 2020","Binge-drinking,Household role,Domestic violence,Survey,Thailand",THA,Asia,South-Eastern Asia,0,0,THA,Asia,South-Eastern Asia,13.0700391,101.5231763,Domestic,4,1,Upper middle income,0.8,0.333,71641484,6985.64393892574,37.2,16.2,59.106,1.12656237,36,SWIID,2020,IPU,2020,ILOSTAT,2020,OWID,2014
318,Coercion with Morality: Chinese Police Officers’ Gendered Policing Strategies in Domestic Violence Cases,10.1177/15570851231164885,2023,"Yang, Wenqi",Feminist Criminology 2023.18:205-224,Mediation;Criminology;Morality;Coercion (linguistics);Scholarship;Masculinity;Domestic violence;Intervention (counseling);Poison control;Psychology;Sociology;Political science,CHN,Asia,Eastern Asia,0,0,USA,Americas,North America,41.7430237,-92.7239637,Cross-continental,9,6,Upper middle income,0.768,0.192,1422584930,12951.1782397043,40.8,24.94,60.216,NA,16,SWIID,2023,IPU,2023,ILOSTAT,2023,NA,NA
319,"Domestic Violence: Intersection of Culture, Gender and Context",10.1007/s10903-015-0193-1,2015,Tonsing JC.,Journal of Immigrant and Minority Health,Violence;Domestic Violence,HKG,Asia,Eastern Asia,0,0,HKG,Asia,Eastern Asia,22.3188953,114.1721025,Domestic,4,1,High income,0.952,0.04,7291300,42432.16197,40.2,NA,54.211,0.2468695569,NA,SWIID,2015,NA,NA,ILOSTAT,2015,OWID,2015
320,"Changes and socioeconomic factors associated with attitudes towards domestic violence among Vietnamese women aged 15–49  findings from the Multiple Indicator Cluster Surveys, 2006–2011",10.3402/gha.v9.29577,2016,"Trinh, OTH and Oh, J and Choi, S and To, KG and Van Do, D",GLOBAL HEALTH ACTION,socioeconomic factors;intimate partner violence;attitudes;prevalence;Vietnamese;GENDER;RACE;Socioeconomic Factors,VNM,Asia,South-Eastern Asia,0,0,VNM,Asia,South-Eastern Asia,10.7544775,106.6632557,Domestic,4,1,Lower middle income,0.703,0.296,94000115,2735.0604380416,36.1,24.3,72.53,NA,56,SWIID,2016,IPU,2016,ILOSTAT,2016,NA,NA
321,"DOWRY, ‘DOWRY AUTONOMY’ AND DOMESTIC VIOLENCE AMONG YOUNG MARRIED WOMEN IN INDIA",10.1017/s0021932018000226,2018,"Pallikadavath S, Bradley T.",-,India;Violence,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,22.3511148,78.6677428,Domestic,4,1,Lower middle income,0.633,0.49,1374659067,1966.25455171679,47.6,11.81,26.568,2.557815304,107,SWIID,2018,IPU,2018,ILOSTAT,2018,OWID,2018
322,Financial Strain and Intimate Partner Violence Against Married Women in Postreform China: Evidence From Chengdu,10.1177/0886260519853406,2019,"Li Zheng, Xiaohe Xu, Ting Xu, Liu Yang, Xiaoxia Gu, and Lijuan Wang",J Interpers Violence 0.0:0886260519853406,"intimate partner violence,controlling behavior,financial strain,family stress model,postreform China",CHN,Asia,Eastern Asia,0,0,CHN,Asia,Eastern Asia,30.5601863,103.9973029,Domestic,26,1,Upper middle income,0.768,0.192,1423520357,10342.9009524335,41.1,24.94,61.305,NA,21,SWIID,2019,IPU,2019,ILOSTAT,2019,NA,NA
323,Factors associated with intimate partner violence against married women in Nepal,10.1177/0886260514539845,2011,"Atteraya MS, Gnawali S, Song IH.","INTERNATIONAL JOURNAL OF EMERGING MARKETS - Volume 13, Issue 6, pp. 1597-1614 - published 2018-11-29",Nepal;Violence,BRA,Americas,South America,0,0,BRA,Americas,South America,NA,NA,Domestic,4,1,Upper middle income,0.754,0.39,195284734,13396.62632,52.9,8.576998051,53.517,4.575589504,62,NA,NA,WDI,2011,WDI,2011,WDI,2011
324,Gender Differences in Violence and Other Human Rights Abuses Among Migrant Workers on the Thailand–Myanmar Border,10.1177/1077801218805587,2018,"Meyer, SR and Robinson, WC and Branchini, C and Abshir, N and Mar, AA and Decker, MR",Violence Against Women 0.0:1077801218805587,"migration,human rights,violence,exploitation,migrant worker,gender,sex work",THA; MMR,Asia,South-Eastern Asia,1,0,USA,Americas,North America,40.8077559,-73.9616141,Multi-national,17,4,Upper middle income; Lower middle income,0.8; 0.585,0.333; 0.467,71376081.0; 52272250.0,NA,37.8; 33.9,4.8; 10.16,59.569; 48.438,1.1308; 1.0177,NA,SWIID; SWIID,2018; 2017,IPU; IPU,2018; 2018,ILOSTAT; ILOSTAT,2018; 2018,OWID; OWID,2014; 2018
325,"Gender-Based Violence and Suicidal Ideation Among Indian Women From Slums: An Examination of Direct and Indirect Effects of Depression, Anxiety, and PTSD Symptoms",10.1037/tra0000998,2022,"Patel, AR and Prabhu, S and Sciarrino, NA and Presseau, C and Smith, NB and Rozek, DC",PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,"GBV;India;suicidality;PTSD;depression;COMMON MENTAL-DISORDERS;POSTTRAUMATIC-STRESS-DISORDER;HARVARD TRAUMA QUESTIONNAIRE;CROSS-CULTURAL INSTRUMENT;DOMESTIC VIOLENCE;MEASURING TORTURE;URBAN SLUM;HEALTH;MUMBAI;PREVALENCE;Suicide;Stress Disorders, Post-Traumatic;Anxiety;Violence",IND,Asia,Southern Asia,0,0,USA,Americas,North America,36.1652853,-95.9878434,Cross-continental,31,5,Lower middle income,0.633,0.49,1425423209,2347.44829434623,46.8,14.94,29.348,2.298108225,90,SWIID,2022,IPU,2022,ILOSTAT,2022,OWID,2022
326,"Gender-Based Violence in Rural Uttar Pradesh, India",10.1177/0886260515584341,2016,"Ahmad, J and Khan, ME and Mozumdar, A and Varma, DS",J Interpers Violence 2016.31:3111-3128,gender-based violence;reproductive behavior;husband's attitude;violence reproductive health;INTIMATE PARTNER VIOLENCE;DOMESTIC VIOLENCE;WOMEN;PERCEPTIONS;PREGNANCY;POLICY;Prevalence;Health Behavior;India;Violence,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,28.6419258,77.2217499,Domestic,4,1,Lower middle income,0.633,0.49,1343944296,1707.50892912243,47.8,11.97,26.575,2.658619119,121,SWIID,2016,IPU,2016,ILOSTAT,2016,OWID,2016
327,Correlates of intimate partner violence in Bhutan  Evidence from the 2012 National Health Survey,10.1108/jhr-01-2020-0012,2021,Sonam Phuntsho  Tashi Dendup and I Gusti Ngurah Edi Putra Mongal Singh Gurung and Dorji Pelzom Neyzang Wangmo,"JOURNAL OF HEALTH RESEARCH - Volume 36, Issue 1, pp. 23-36 - published 2022-01-13",Domestic violence;Empowerment;Odds;Psychological intervention;Logistic regression;Sexual violence;Poison control;Psychology;Survey data collection;Demography;Gerontology;Injury prevention,BTN,Asia,Southern Asia,0,0,BTN,Asia,Southern Asia,27.549511,90.5119273,Domestic,4,1,Lower middle income,0.666,0.421,775442,3570.61258,37.4,17.0212766,64.902,1.401353147,50,NA,NA,WDI,2021,WDI,2021,WDI,2020
328,Emotional violence and maternal mental health: a qualitative study among women in northern Vietnam,10.1186/s12905-018-0553-9,2018,Trần Thơ Nhị,"BMC Women's Health, 2018","Depression,Distress,Emotional violence,Ethnographic interviews,Intimate partner violence,Mental health,Pregnancy,Postpartum,Vietnam",VNM,Asia,South-Eastern Asia,0,0,VNM,Asia,South-Eastern Asia,21.0022278,105.8313173,Domestic,4,1,Lower middle income,0.703,0.296,96237319,3222.31003125366,35.9,26.72,72.897,NA,53,SWIID,2018,IPU,2018,ILOSTAT,2018,NA,NA
329,How Well Does the World Health Organization Definition of Domestic Violence Work for India?,10.1371/journal.pone.0120909,2015,"Ameeta S. Kalokhe, Ratnaprabha R. Potdar, Rob Stephenson, Kristin L. Dunkle, Anuradha Paranjape, Carlos del Rio, Seema Sahay",PLOS ONE,India,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,22.3511148,78.6677428,Domestic,4,1,Lower middle income,0.633,0.49,1328024494,1583.99815907985,47.9,11.97,26.582,2.57359711,129,SWIID,2015,IPU,2015,ILOSTAT,2015,OWID,2015
330,Female Same-Sex Bidirectional Intimate Partner Violence in China,10.1177/0886260520959624,2020,"Kai Lin, Ran Hu, Xiying Wang, and Jia Xue",J Interpers Violence 0.0:0886260520959624,"bidirectional IPV,LGBTQ,China,lesbian,sexual minorities",CHN,Asia,Eastern Asia,0,0,USA,Americas,North America,38.5626837,-121.42412,Cross-continental,16,3,Upper middle income,0.768,0.192,1426106093,10627.4637989619,41,24.94,59.711,NA,20,SWIID,2020,IPU,2020,ILOSTAT,2020,NA,NA
331,Domestic violence and its associated factors among married women of a village development committee of rural Nepal,10.1186/s13104-016-1986-6,2016,Diksha Sapkota,BMC Research Notes,Controlling behavior; Domestic violence; Mental health; Occurrence,NPL,Asia,Southern Asia,0,0,IDN,Asia,South-Eastern Asia,-6.4955532,110.8440229,Intra-continental,4,1,Lower middle income,0.602,0.452,27955471,877.256454696737,35.7,29.55,27.346,NA,214,SWIID,2016,IPU,2016,ILOSTAT,2016,NA,NA
332,Healthcare Providers’ Perceptions and Experiences of Training to Respond to Violence against Women: Results from a Qualitative Study,10.3390/ijerph20043606,2023,"Sanjida Arora, Padma Bhate-Deosthali, Sangeeta Rege, Avni Amin and Sarah R. Meyer",International Journal of Environmental Research and Public Health,violence against women; qualitative; healthcare practitioners; health system response,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,26.4073841,93.2551303,Domestic,7,5,Lower middle income,0.633,0.49,1438069597,2530.12031278204,46.8,15.13,30.984,2.277898654,80,SWIID,2022,IPU,2023,ILOSTAT,2023,OWID,2022
333,Impact of the COVID-19 lockdown on intimate partner violence: Issues of non-reporting in Bangladesh,10.1177/17455057221087888,2022,"Mahmood N, Kamruzzaman M, Rahman A, Reidpath DD, Akhter S.",Womens Health (Lond Engl) 2022.18:17455057221087888,Bangladesh;Violence,BGD,Asia,Southern Asia,0,0,SAU,Asia,Western Asia,24.6857908,46.6317752,Intra-continental,5,5,Lower middle income,0.661,0.53,169384897,2716.485928,30.9,20.85714286,43.687,NA,131,NA,NA,WDI,2022,WDI,2022,NA,NA
334,Lifetime Experience of Violence in Early Adulthood Female,10.31729/jnma.3686,2018,"Silwal, K and Dhakal, P and Raut, KB and Chaudhary, RK",JOURNAL OF NEPAL MEDICAL ASSOCIATION,female;prevalence;prevention;violence;INTIMATE PARTNER VIOLENCE;WOMEN;Violence,NPL,Asia,Southern Asia,0,0,NPL,Asia,Southern Asia,27.618086,84.4536201,Domestic,15,2,Lower middle income,0.602,0.452,28079688,1179.19843190389,35.4,32.7,27.628,NA,183,SWIID,2018,IPU,2018,ILOSTAT,2018,NA,NA
335,"Intimate-partner violence and its association with symptoms of depression, perceived health, and quality of life in the Himalayan Mountain Villages of Gilgit Baltistan",10.1371/journal.pone.0268735,2022,"Gul Nowshad, Neelum Jahan, Nasim Zahid Shah, Nasloon Ali, Tazeen Ali, Sartaj Alam, Ambreen Khan, Mohammad Afzal Mahmood, Malika Saba, Danilo Arnone, Syed M. Shah",PLOS ONE,Quality of Life;Mountaineering;Violence,PAK,Asia,Southern Asia,0,0,PAK,Asia,Southern Asia,30.3308401,71.247499,Domestic,27,6,Lower middle income,0.544,0.534,243700667,1538.3228133171,34.4,20.47,24.027,NA,160,SWIID,2022,IPU,2022,ILOSTAT,2022,NA,NA
336,Menstrual restriction prevalence and association with intimate partner violence among Nepali women,10.1136/bmjsrh-2017-101908,2019,"Cardoso, LF and Clark, CJ and Rivers, K and Ferguson, G and Shrestha, B and Gupta, J",BMJ SEXUAL & REPRODUCTIVE HEALTH,HEALTH;SHAME;Prevalence;Violence,NPL,Asia,Southern Asia,0,0,USA,Americas,North America,39.9512124,-75.1835574,Cross-continental,1,1,Lower middle income,0.602,0.452,28414066,1203.14294706401,35.3,32.73,27.537,NA,170,SWIID,2019,IPU,2019,ILOSTAT,2019,NA,NA
337,"The Use of Female Sex Workers Among Men in Nepal: Prevalence, STIs/HIV-Related Risk Behaviors, and Gender Ideology",10.4137/ppri.s39664,2014,"Roman Shrestha1,2, Pramila Karki2,3, and Michael Copenhaver2,3",Primary Prevention Insights,Nepal;Violence,NPL,Asia,Southern Asia,0,0,NPL,Asia,Southern Asia,28.3780464,83.9999901,Domestic,4,1,Lower middle income,0.602,0.452,27672373,821.455224911731,36,29.91,26.575,NA,245,SWIID,2014,IPU,2014,ILOSTAT,2014,NA,NA
338,How to reduce Domestic Violence against married women? a mixed methods study from rural Tamil Nadu,10.5249/jivr.v14i1.1602,2022,"Madhivanan A, Dongre AR",Injury & Violence,Injury & Violene Prevention,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,22.3511148,78.6677428,Domestic,4,1,Lower middle income,0.633,0.49,1425423209,2347.44829434623,46.8,14.94,29.348,2.298108225,90,SWIID,2022,IPU,2022,ILOSTAT,2022,OWID,2022
339,Microfinance Participation and Domestic Violence in Bangladesh: Results From a Nationally Representative Survey,10.1080/10911359.2019.1587730,2015,"Murshid, NS and Akincigil, A and Zippay, A",JOURNAL OF INTERPERSONAL VIOLENCE,domestic violence;cultural contexts;intervention;treatment;unintended consequences;social policy;INTIMATE PARTNER VIOLENCE;RURAL CREDIT PROGRAMS;WOMENS EMPOWERMENT;STATUS-INCONSISTENCY;MICRO-FINANCE;MICROCREDIT;GENDER;PREVALENCE;IMPACT;POOR;Bangladesh;Ethnic Groups;Violence,BGD,Asia,Southern Asia,0,0,USA,Americas,North America,42.9335571,-78.8845343,Cross-continental,4,1,Lower middle income,0.661,0.53,159383179,1224.386477,32.1,20,33.531,NA,204,NA,NA,WDI,2015,WDI,2015,NA,NA
340,Is Attitudinal Acceptance of Violence a Risk Factor? An Analysis of Domestic Violence Against Women in Pakistan,10.1177/0886260518787809,2021,"Amir-Ud-Din R, Fatima S, Aziz S.",J Interpers Violence 2021.36:NP4514-NP4541,Risk Factors;Pakistan;Violence,PAK,Asia,Southern Asia,0,0,BRA,Americas,South America,-7.9103393,-34.8230022,Cross-continental,4,1,Lower middle income,0.544,0.534,239477805,1455.31922370186,34.3,20.18,24.365,NA,193,SWIID,2021,IPU,2021,ILOSTAT,2021,NA,NA
